case_name,reward_map,requested_detour_budget,trials,waypoint_count,successful_trials,failure_trials,success_rate,reward_per_distance_mean_successful,reward_per_distance_std_successful,total_reward_mean_successful,total_reward_std_successful,total_distance_mean_all,total_distance_std_all,total_distance_mean_successful,total_distance_std_successful,visited_waypoints_mean_all,visited_waypoints_std_all,completion_rate_mean_all,completion_rate_std_all,runtime_seconds_mean,runtime_seconds_std
center_block,10,15,1,2,1,0,1.000000,0.516750,0.000000,25.837488,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.420107,0.000000
center_block,1,20,1,2,1,0,1.000000,0.519965,0.000000,31.197877,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.868754,0.000000
center_block,2,20,1,2,1,0,1.000000,0.836642,0.000000,50.198498,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.445960,0.000000
center_block,3,20,1,2,1,0,1.000000,0.712094,0.000000,42.725656,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.885603,0.000000
center_block,4,20,1,2,1,0,1.000000,0.506178,0.000000,30.370710,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.796183,0.000000
center_block,5,20,1,2,1,0,1.000000,0.767094,0.000000,46.025613,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.914078,0.000000
center_block,6,20,1,2,1,0,1.000000,0.498285,0.000000,29.897095,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.362477,0.000000
center_block,7,20,1,2,1,0,1.000000,0.862180,0.000000,51.730777,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.094425,0.000000
center_block,8,20,1,2,1,0,1.000000,0.555814,0.000000,33.348858,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.745010,0.000000
center_block,9,20,1,2,1,0,1.000000,0.645122,0.000000,38.707304,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.923617,0.000000
center_block,10,20,1,2,1,0,1.000000,0.520486,0.000000,31.229189,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.993762,0.000000
